Latitude,Longitude,Heading,ShipName,Date,LadenState
24.1421,118.267,67,BEST TRADER,31/12/2014,Laden
31.694918,121.142843,304,HARMONY CARRIER,31/12/2014,Unladen
36.7787,123.012,182,DONGFANGSHENG,31/12/2014,Laden
34.88962,119.913037,74,QINFA 8,31/12/2014,Unladen
31.8996,138.564,163,SANSHU MARU,31/12/2014,Unladen
-0.229683,106.763,318,BERGE MANASLU,31/12/2014,Laden
30.47685,122.282167,202,NEW HORIZON,31/12/2014,Unladen
-28.7541,154.089,180,GRAND HORIZON,31/12/2014,Unladen
21.981715,114.878252,238,TUO ZHAN 7,31/12/2014,Laden
-5.82791,106.413,100,K.COSMOS,31/12/2014,Laden
6.169667,95.367167,270,ORE SUDBURY,31/12/2014,Unladen
26.3934,119.78,234,BERGE DENALI,31/12/2014,Laden
14.652413,120.14392,358,ORE ITABIRA,31/12/2014,Unladen
36.765782,122.879363,167,TIAN SHENG 17,31/12/2014,Laden
0.117413,117.735215,69,TIAN SHENG 15,31/12/2014,Laden
34.8929,119.986,329,ATLANTIC MERCHANT,31/12/2014,Unladen
-9.49118,-5.372,142,WUGANG ORIENT,31/12/2014,Laden
-22.7671,58.0303,255,SHAGANG GIANT,31/12/2014,Unladen
-22.1628,-5.66194,122,BING N,31/12/2014,Laden
36.3324,126.469,290.5,SEA TRADER,31/12/2014,Laden
26.709417,33.9561,22,PANAMAX TRADER,31/12/2014,Laden
38.866517,118.684295,36,HBIS SUNRISE,31/12/2014,Laden
-30.539,-6.41752,277,ANANGEL SHAGANG,31/12/2014,Unladen
-2.34104,-44.3104,186,STELLAR UNICORN,31/12/2014,Unladen
0.29275,86.9518,52,RENATE  N,31/12/2014,Laden
-23.028133,-44.084817,209,STELLAR COSMO,31/12/2014,Unladen
36.170175,-4.811902,337,AQUA CHALLENGER,31/12/2014,Unladen
-5.62335,147.492,333,MONA LIBERTY,31/12/2014,Laden
17.4802,83.3146,60,FENGLI 1,31/12/2014,Laden
-28.9433,39.999,70,POLSKA WALCZACA,31/12/2014,Laden
-21.8608,-12.5516,122,NIKI,31/12/2014,Unladen
3.53684,142.557,328,HANJIN PORT KEMBLA,31/12/2014,Laden
29.6649,122.447,36,HE BANG,31/12/2014,Laden
-8.18095,150.996,299,HYUNDAI SPIRIT,31/12/2014,Laden
-40.0022,15.7737,94,STELLAR  NEPTUNE,31/12/2014,Laden
-40.0295,32.0237,91,STELLAR LIBERTY,31/12/2014,Laden
-24.7287,91.2069,61,STELLAR SAMBA,31/12/2014,Laden
-1.78651,-42.0434,95,STELLAR OCEAN,31/12/2014,Laden
-7.11986,80.6995,220,STELLAR QUEEN,31/12/2014,Unladen
-31.228,153.539,18,COLLONGES,31/12/2014,Laden
35.2706,119.816,284,ATLANTIC TRADER,31/12/2014,Laden
40.7684,29.7246,351,IRENE,31/12/2014,Laden
29.939247,-90.356322,289,DESPINA,31/12/2014,Unladen
18.5476,-103.948,286,RIO BALSAS,31/12/2014,Laden
49.5526,-167.988,78,BORYEONG,31/12/2014,Unladen
-16.259,-15.1529,303,BERGE HUA SHAN,31/12/2014,Unladen
23.0435,127.997,336,CAPE EAGLE,31/12/2014,Laden
22.640197,120.230558,244,CAPE FALCON,31/12/2014,Unladen
14.251,80.1236,298,FUYUAN,31/12/2014,Laden
-33.06498,152.542842,291,K.PRIDE,31/12/2014,Unladen
-14.8486,65.5834,60,KESTREL1,31/12/2014,Laden
-5.02827,146.615,145,QINFA10,31/12/2014,Unladen
51.96605,4.111617,295,M.V.BERGEBUREYA,31/12/2014,Laden
22.6723,113.67,328,DONG JIANG HAI,31/12/2014,Laden
37.658023,120.313142,39,SHUN FENG 9,31/12/2014,Unladen
31.3715,127.941,348,POS DEDICATOR,31/12/2014,Laden
-14.3177,117.085,169,POS BRAVERY,31/12/2014,Unladen
-26.5058,70.9326,58,POS AMBITION,31/12/2014,Laden
45.1187,-148.383,73,GOODWILL,31/12/2014,Unladen
-9.99359,82.7551,38,AQUA FORTUNE,31/12/2014,Laden
-25.759,-38.9296,113,STELLAR GALAXY,31/12/2014,Laden
-28.717,-2.19287,125,STELLAR DAISY,31/12/2014,Laden
38.874352,118.435577,3,MARTHA,31/12/2014,Unladen
52.413357,4.817317,163,M.V.EMPRESS,31/12/2014,Unladen
-32.521167,152.75705,314,FRONTIER,31/12/2014,Unladen
-33.1601,12.5786,59,ALEXANDER CARL,31/12/2014,Unladen
22.6842,133.502,152,POS HARVESTER,31/12/2014,Unladen
-20.206,152.995,174,INNOVATOR,31/12/2014,Unladen
19.6265,-26.9028,141,ANANGEL PRIDE,31/12/2014,Laden
-20.237867,57.25815,326,ANANGEL SOLIDARITY,31/12/2014,Unladen
2.73165,101.118283,119,C. QUEEN,31/12/2014,Laden
23.05728,113.503678,312,JIA YONG,31/12/2014,Laden
-0.29215,117.664,178,FENGLI 8,31/12/2014,Unladen
24.403,118.113,99,FENGLI 9,31/12/2014,Unladen
-10.3883,-25.0982,120,SINOGLORY,31/12/2014,Laden
-20.098,153.721,351,WINNING FRIEND,31/12/2014,Laden
26.6543,53.0359,295,RENUAR,31/12/2014,Laden
12.4757,120.867,147,STAR JULIA,31/12/2014,Unladen
-39.7742,8.91975,102,ATLANTIC CARRIER,31/12/2014,Laden
39.928832,119.665832,46,CHANG MING LI,31/12/2014,Unladen
-34.962033,18.973117,286,M.V PACIFIC RUBY,31/12/2014,Unladen
22.07655,113.89895,59,ARISTIDES N P,31/12/2014,Unladen
-36.1106,49.3143,83,STELLAR EAGLE,31/12/2014,Laden
-29.079,31.967667,69,CHIKUZEN 8,31/12/2014,Unladen
37.066562,126.506713,114,K.PROMISE,31/12/2014,Laden
23.866,127.396,139,ANANGEL SPLENDOUR,31/12/2014,Laden
12.5426,83.5324,113,CHIOS SUNRISE,31/12/2014,Laden
17.9293,-102.185,284,LOS LLANITOS,31/12/2014,Laden
54.7202,162.354,189,DUNFENG MANILA,31/12/2014,Laden
-1.3068,116.801367,319,EVERTOP,31/12/2014,Unladen
34.9442,127.825,24,POWER LOONG,31/12/2014,Laden
29.694483,49.447283,317,STAR MONIKA,31/12/2014,Laden
-0.30255,117.67,167,SEA ARIRANG,31/12/2014,Unladen
1.37117,104.58282,2,ABYO FOUR,31/12/2014,Unladen
-4.70502,-34.5013,301,STELLAR PIONEER,31/12/2014,Unladen
35.281,119.822,290,STELLAR TOPAZ,31/12/2014,Laden
-5.778775,106.205852,81,STELLAR KNIGHT,31/12/2014,Laden
-37.4989,32.9639,87,STELLAR JOURNEY,31/12/2014,Laden
21.690917,108.626512,295,YALONGJIANG,31/12/2014,Laden
-16.5935,71.2211,56,SILVER OCEAN,31/12/2014,Laden
24.537132,118.087717,46,FENG SHENG YOU 8,31/12/2014,Unladen
31.585183,121.320633,245,DIA YUAN,31/12/2014,Unladen
21.9079,-17.6808,15,MIDEN MAX,31/12/2014,Laden
22.0626,114.04665,53,DONG JIANG MEI,31/12/2014,Unladen
37.0651,126.51,113,DANGJIN FRIENDSHIP,31/12/2014,Laden
-24.1842,-46.244,100,THE OPENER,31/12/2014,Unladen
-26.7102,-25.9141,103,GUOFENG ENTERPRISE,31/12/2014,Laden
-33.0235,152.094,348,HANJIN CAPETOWN,31/12/2014,Unladen
-1.157,85.2556,233,THE FORGIVER,31/12/2014,Unladen
23.0498,113.509,331,GAO ZHOU HAI,31/12/2014,Laden
40.25626,122.09459,180,DENG ZHOU HAI,31/12/2014,Unladen
0.453353,118.612,48,FENG SHAN HAI,31/12/2014,Unladen
25.387815,56.709535,109,COPPERSMITH,31/12/2014,Unladen
